City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Bom Jesus,BR,75.16,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
626,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
627,Aden,YE,77.59,clear sky,12.7794,45.0367,Sama Emirate Hotel
632,Saint Peter,BB,75.76,clear sky,13.25,-59.6167,Legend Garden Condos
640,Bauru,BR,70.83,overcast clouds,-22.3147,-49.0606,Astor Hotel
648,Am Timan,TD,75.06,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
650,Oranjemund,,72.05,clear sky,-28.55,16.4333,The Fisherman's Cove
654,Quelimane,MZ,73.35,broken clouds,-17.8786,36.8883,Hotel Flamingo
655,Halol,IN,81.64,clear sky,22.5,73.4667,"Hotel Valley - Rooms, Banquet, Party Plot"
658,Palmas,BR,78.67,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
666,Rondonopolis,BR,72.93,few clouds,-16.4708,-54.6356,Serras Hotel
670,Namalenga,TZ,71.46,overcast clouds,-10.95,39.1,
671,Hirara,JP,75.06,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
672,Durban,ZA,70.02,overcast clouds,-29.8579,31.0292,Hilton Durban
674,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
677,Digha,IN,84.52,broken clouds,21.6833,87.55,Khoniker Atithi
692,Saint-Joseph,RE,76.1,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
694,Elizabeth City,US,71.62,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
697,Barra Patuca,HN,78.76,overcast clouds,15.8,-84.2833,
698,Mitsamiouli,KM,80.89,light rain,-11.3847,43.2844,Foyer ADM
